organization,category,careers_page,verdict,reason,board
Vodafone,Energy & Infrastructure,https://careers.vodafone.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Banca d'Italia,Finance & Prestige,https://www.bancaditalia.it/chi-siamo/lavorare-bi/,WORKING,"fine, but JavaScript-rendered — use --browser",
Bank for International Settlements,Finance & Prestige,https://www.bis.org/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Cassa Depositi e Prestiti,Finance & Prestige,https://www.cdp.it/sitointernet/it/lavora_con_noi.page,WORKING,"fine, runs on successfactors (no connector yet)",
Citadel / Citadel Securities,Finance & Prestige,https://www.citadel.com/careers/,WORKING,"403 to a script, but fine in a browser",
Da Vinci Derivatives,Finance & Prestige,https://davinciderivatives.com/careers/,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Goldman Sachs,Finance & Prestige,https://www.goldmansachs.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
IMC Trading,Finance & Prestige,https://careers.imc.com,WORKING,"fine, but JavaScript-rendered — use --browser",
J.P. Morgan,Finance & Prestige,https://careers.jpmorgan.com,WORKING,"fine, runs on oracle-cloud (no connector yet)",
Jane Street,Finance & Prestige,https://www.janestreet.com/join-jane-street/,WORKING,"fine, but JavaScript-rendered — use --browser",
Optiver,Finance & Prestige,https://optiver.com/working-at-optiver/career-opportunities/,WORKING,"fine, but JavaScript-rendered — use --browser",
Two Sigma,Finance & Prestige,https://careers.twosigma.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Alice & Bob,Quantum & Deep Tech,https://alice-bob.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
First Light Fusion,Quantum & Deep Tech,https://firstlightfusion.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Gauss Fusion,Quantum & Deep Tech,https://gauss-fusion.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
IQM Quantum Computers,Quantum & Deep Tech,https://www.meetiqm.com/careers/,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Marvel Fusion,Quantum & Deep Tech,https://marvelfusion.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Multiverse Computing,Quantum & Deep Tech,https://multiversecomputing.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Pasqal,Quantum & Deep Tech,https://www.pasqal.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Proxima Fusion,Quantum & Deep Tech,https://www.proximafusion.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Qblox,Quantum & Deep Tech,https://www.qblox.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
QuTech,Quantum & Deep Tech,https://qutech.nl/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Quandela,Quantum & Deep Tech,https://www.quandela.com/careers/,WORKING,"fine, runs on workable (no connector yet)",
Quantinuum,Quantum & Deep Tech,https://www.quantinuum.com/careers,SUSPECT,"page links lever:quantinuum, but that board did not answer",
Renaissance Fusion,Quantum & Deep Tech,https://stellarator.energy/careers,SUSPECT,timed out,
Riverlane,Quantum & Deep Tech,https://www.riverlane.com/careers,WORKING,"403 to a script, but fine in a browser",
Terra Quantum,Quantum & Deep Tech,https://terraquantum.swiss/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Tokamak Energy,Quantum & Deep Tech,https://www.tokamakenergy.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
newcleo,Quantum & Deep Tech,https://www.newcleo.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
planqc,Quantum & Deep Tech,https://www.planqc.eu/careers,BROKEN,"404 — URL is wrong, needs replacing",
Alan Turing Institute,Research & Big Science,https://www.turing.ac.uk/work-turing,WORKING,"fine, but JavaScript-rendered — use --browser",
Barcelona Supercomputing Center,Research & Big Science,https://www.bsc.es/join-us,WORKING,"fine, but JavaScript-rendered — use --browser",
CEA,Research & Big Science,https://www.cea.fr/english/Pages/careers.aspx,BROKEN,"404 — URL is wrong, needs replacing",
CERN,Research & Big Science,https://careers.cern,WORKING,"fine, but JavaScript-rendered — use --browser",
CINECA,Research & Big Science,https://www.cineca.it/it/lavora-con-noi,WORKING,"403 to a script, but fine in a browser",
CINI Cybersecurity National Lab,Research & Big Science,https://cybersecnatlab.it,WORKING,"fine, but JavaScript-rendered — use --browser",
CISPA Helmholtz Center for Information Security,Research & Big Science,https://jobs.cispa.saarland,WORKING,"fine, but JavaScript-rendered — use --browser",
CNR,Research & Big Science,https://www.urp.cnr.it/lavora-con-noi,BROKEN,"404 — URL is wrong, needs replacing",
CNRS,Research & Big Science,https://emploi.cnrs.fr,WORKING,"fine, but JavaScript-rendered — use --browser",
CWI - Centrum Wiskunde & Informatica,Research & Big Science,https://www.cwi.nl/en/jobs/,WORKING,"fine, but JavaScript-rendered — use --browser",
DESY,Research & Big Science,https://www.desy.de/career,WORKING,"fine, but JavaScript-rendered — use --browser",
EMBL,Research & Big Science,https://www.embl.org/jobs/,WORKING,"fine, but JavaScript-rendered — use --browser",
ENEA,Research & Big Science,https://www.enea.it/it/lavora-con-noi,SUSPECT,TLS certificate misconfigured,
ESO - European Southern Observatory,Research & Big Science,https://recruitment.eso.org,WORKING,"fine, but JavaScript-rendered — use --browser",
ESRF,Research & Big Science,https://www.esrf.fr/Jobs,WORKING,"fine, but JavaScript-rendered — use --browser",
ESS - European Spallation Source,Research & Big Science,https://europeanspallationsource.se/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
European XFEL,Research & Big Science,https://www.xfel.eu/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Fondazione Bruno Kessler,Research & Big Science,https://jobs.fbk.eu,WORKING,"fine, but JavaScript-rendered — use --browser",
Forschungszentrum Julich,Research & Big Science,https://www.fz-juelich.de/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Fraunhofer-Gesellschaft,Research & Big Science,https://www.fraunhofer.de/en/jobs-and-career.html,WORKING,"fine, but JavaScript-rendered — use --browser",
GSI / FAIR,Research & Big Science,https://www.gsi.de/en/careers,BROKEN,"404 — URL is wrong, needs replacing",
Helmholtz Association,Research & Big Science,https://www.helmholtz.de/en/career/,WORKING,"fine, but JavaScript-rendered — use --browser",
IIASA,Research & Big Science,https://iiasa.ac.at/jobs,WORKING,"403 to a script, but fine in a browser",
ILL - Institut Laue-Langevin,Research & Big Science,https://www.ill.eu/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
INAF,Research & Big Science,https://www.inaf.it/it/lavora-con-noi,SUSPECT,TLS certificate misconfigured,
INFN,Research & Big Science,https://jobs.dsi.infn.it,WORKING,"fine, but JavaScript-rendered — use --browser",
IRT SystemX,Research & Big Science,https://www.irt-systemx.fr/en/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Inria,Research & Big Science,https://jobs.inria.fr,WORKING,"fine, but JavaScript-rendered — use --browser",
Istituto Italiano di Tecnologia (IIT),Research & Big Science,https://www.iit.it/careers,BROKEN,"404 — URL is wrong, needs replacing",
Leibniz Association,Research & Big Science,https://www.leibniz-gemeinschaft.de/en/careers,BROKEN,"404 — URL is wrong, needs replacing",
Max Planck Society,Research & Big Science,https://www.mpg.de/en/career,WORKING,"fine, but JavaScript-rendered — use --browser",
ONERA,Research & Big Science,https://www.onera.fr/en/jobs,BROKEN,"404 — URL is wrong, needs replacing",
RISE Research Institutes of Sweden,Research & Big Science,https://www.ri.se/en/career,WORKING,"fine, but JavaScript-rendered — use --browser",
Royal NLR,Research & Big Science,https://www.nlr.org/careers/,BROKEN,"404 — URL is wrong, needs replacing",
SCK CEN,Research & Big Science,https://www.sckcen.be/en/jobs,WORKING,"fine, runs on successfactors (no connector yet)",
SINTEF,Research & Big Science,https://www.sintef.no/en/career/,BROKEN,"404 — URL is wrong, needs replacing",
SKA Observatory,Research & Big Science,https://recruitment.skao.int,WORKING,"fine, but JavaScript-rendered — use --browser",
VITO,Research & Big Science,https://vito.be/en/jobs,WORKING,"fine, but JavaScript-rendered — use --browser",
VTT,Research & Big Science,https://www.vttresearch.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
imec,Research & Big Science,https://www.imec-int.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Accenture Security,Tech & Consulting,https://www.accenture.com/us-en/careers,WORKING,"fine, runs on workday (no connector yet)",
Akkodis (Adecco),Tech & Consulting,https://www.akkodis.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Alten,Tech & Consulting,https://www.alten.com/careers/,WORKING,"403 to a script, but fine in a browser",
Arthur D. Little,Tech & Consulting,https://www.adlittle.com/en/careers,WORKING,"403 to a script, but fine in a browser",
Atos / Eviden,Tech & Consulting,https://jobs.eviden.com,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Bain & Company,Tech & Consulting,https://www.bain.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Booz Allen Hamilton,Tech & Consulting,https://careers.boozallen.com,WORKING,"fine, runs on workday (no connector yet)",
Boston Consulting Group,Tech & Consulting,https://careers.bcg.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Capgemini,Tech & Consulting,https://www.capgemini.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Deloitte Cyber,Tech & Consulting,https://apply.deloitte.com,WORKING,"fine, but JavaScript-rendered — use --browser",
EY Cybersecurity,Tech & Consulting,https://careers.ey.com,WORKING,"fine, runs on successfactors (no connector yet)",
Engineering Ingegneria Informatica,Tech & Consulting,https://www.eng.it/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Expleo Group,Tech & Consulting,https://expleo.com/global/en/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
KPMG Cyber,Tech & Consulting,https://kpmg.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Kearney,Tech & Consulting,https://www.kearney.com/careers,WORKING,"403 to a script, but fine in a browser",
McKinsey & Company,Tech & Consulting,https://www.mckinsey.com/careers,SUSPECT,timed out,
Oliver Wyman,Tech & Consulting,https://www.oliverwyman.com/careers.html,WORKING,"fine, but JavaScript-rendered — use --browser",
PwC Cybersecurity,Tech & Consulting,https://www.pwc.com/gx/en/careers.html,WORKING,"fine, but JavaScript-rendered — use --browser",
"Reply (Communication Valley, Spike Reply)",Tech & Consulting,https://www.reply.com/en/careers,BROKEN,"404 — URL is wrong, needs replacing",
Roland Berger,Tech & Consulting,https://www.rolandberger.com/en/Careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Sopra Steria,Tech & Consulting,https://www.soprasteria.com/careers,WORKING,"fine, runs on smartrecruiters (no connector yet)",
Sopra Steria Benelux,Tech & Consulting,https://www.soprasteria.com/careers,WORKING,"fine, runs on smartrecruiters (no connector yet)",
Strategy& (PwC),Tech & Consulting,https://www.pwc.com/gx/en/careers.html,WORKING,"fine, but JavaScript-rendered — use --browser",
Wavestone,Tech & Consulting,https://www.wavestone.com/en/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
ABB,Tech & Industry,https://careers.abb,WORKING,"fine, but JavaScript-rendered — use --browser",
ASM International,Tech & Industry,https://www.asm.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Arm,Tech & Industry,https://careers.arm.com,WORKING,"fine, runs on icims (no connector yet)",
BE Semiconductor (Besi),Tech & Industry,https://www.besi.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Bosch,Tech & Industry,https://www.bosch.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Carl Zeiss SMT,Tech & Industry,https://www.zeiss.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Dassault Systemes,Tech & Industry,https://www.3ds.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
GlobalFoundries Dresden,Tech & Industry,https://gf.com/careers/,WORKING,"403 to a script, but fine in a browser",
Infineon Technologies,Tech & Industry,https://www.infineon.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Intel,Tech & Industry,https://jobs.intel.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Philips,Tech & Industry,https://www.careers.philips.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Qualcomm,Tech & Industry,https://careers.qualcomm.com,WORKING,"fine, but JavaScript-rendered — use --browser",
STMicroelectronics,Tech & Industry,https://careers.st.com,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Schneider Electric,Tech & Industry,https://www.se.com/ww/en/about-us/careers/,BROKEN,"404 — URL is wrong, needs replacing",
SiPearl,Tech & Industry,https://sipearl.com/en/careers,BROKEN,"404 — URL is wrong, needs replacing",
Siemens,Tech & Industry,https://jobs.siemens.com,WORKING,"fine, but JavaScript-rendered — use --browser",
TRUMPF,Tech & Industry,https://www.trumpf.com/en_INT/career/,BROKEN,"404 — URL is wrong, needs replacing",
CDI - Talent Support Turin,University & Training,https://cdi.eu/talent-support-in-turin.html,WORKING,"fine, but JavaScript-rendered — use --browser",
Centro Alti Studi per la Difesa (CASD),University & Training,https://www.casd.difesa.it,SUSPECT,TLS certificate misconfigured,
EPFL,University & Training,https://www.epfl.ch/about/working/,WORKING,"fine, but JavaScript-rendered — use --browser",
ETH Zurich,University & Training,https://jobs.ethz.ch,WORKING,"fine, but JavaScript-rendered — use --browser",
EURECOM,University & Training,https://www.eurecom.fr/en/jobs,BROKEN,"404 — URL is wrong, needs replacing",
European Security and Defence College (ESDC),University & Training,https://esdc.europa.eu/training-and-education_en,WORKING,"fine, but JavaScript-rendered — use --browser",
European University Institute (EUI),University & Training,https://www.eui.eu/ServicesAndAdmin/JobOpportunities,BROKEN,"404 — URL is wrong, needs replacing",
Harvard Kennedy School,University & Training,https://www.hks.harvard.edu/educational-programs,WORKING,"fine, but JavaScript-rendered — use --browser",
Hertie School,University & Training,https://www.hertie-school.org/en/,WORKING,"fine, but JavaScript-rendered — use --browser",
Imperial College London,University & Training,https://www.imperial.ac.uk/jobs/,WORKING,"fine, but JavaScript-rendered — use --browser",
Institut Polytechnique de Paris,University & Training,https://www.ip-paris.fr/en/jobs,BROKEN,"404 — URL is wrong, needs replacing",
KIT - Karlsruhe Institute of Technology,University & Training,https://www.kit.edu/karriere/,WORKING,"fine, but JavaScript-rendered — use --browser",
KU Leuven (COSIC),University & Training,https://www.kuleuven.be/personeel/jobsite/,WORKING,"fine, but JavaScript-rendered — use --browser",
London School of Economics,University & Training,https://jobs.lse.ac.uk,WORKING,"fine, but JavaScript-rendered — use --browser",
MIT,University & Training,https://careers.mit.edu,WORKING,"fine, but JavaScript-rendered — use --browser",
NATO Defense College,University & Training,https://www.ndc.nato.it/about/vacancies.php,BROKEN,domain did not resolve (may be local DNS overload — recheck),
NATO School Oberammergau,University & Training,https://www.natoschool.nato.int,WORKING,"403 to a script, but fine in a browser",
Politecnico di Milano,University & Training,https://www.polimi.it/en/work-with-us,WORKING,"fine, but JavaScript-rendered — use --browser",
Politecnico di Torino,University & Training,https://www.polito.it/ateneo/lavora-con-noi,BROKEN,"404 — URL is wrong, needs replacing",
Radboud University,University & Training,https://www.ru.nl/en/working-at,WORKING,"fine, but JavaScript-rendered — use --browser",
Ruhr-Universitat Bochum (HGI),University & Training,https://jobs.ruhr-uni-bochum.de,WORKING,"fine, but JavaScript-rendered — use --browser",
Sapienza / CINI,University & Training,https://www.uniroma1.it/it/pagina/opportunita-di-lavoro,WORKING,"403 to a script, but fine in a browser",
Sciences Po / PSIA,University & Training,https://www.sciencespo.fr/psia/,WORKING,"fine, but JavaScript-rendered — use --browser",
TU Delft,University & Training,https://www.tudelft.nl/en/about-tu-delft/working-at-tu-delft,WORKING,"fine, but JavaScript-rendered — use --browser",
TU Munchen,University & Training,https://www.tum.de/en/about-tum/working-at-tum,BROKEN,"404 — URL is wrong, needs replacing",
Universiteit Leiden,University & Training,https://www.universiteitleiden.nl/en/vacancies,WORKING,"fine, runs on successfactors (no connector yet)",
University of Amsterdam / VU,University & Training,https://vacancies.uva.nl,BROKEN,domain did not resolve (may be local DNS overload — recheck),
University of Cambridge,University & Training,https://www.jobs.cam.ac.uk,WORKING,"fine, but JavaScript-rendered — use --browser",
University of Oxford,University & Training,https://www.jobs.ox.ac.uk,WORKING,"403 to a script, but fine in a browser",
